Catalyst key,Catalyst,Formula,Morphology
paper_1000|output_1000|chem_H_WO3,H-WO3,H-WO3,Hierarchical
paper_715|output_715|chem_ni_foam_cmp_400,Ni foam/CMP-400,CoMoO4 (P-doped) + CoP + MoO2,Porous Network
paper_715|output_715|chem_ni_foam_cmp_450,Ni foam/CMP-450,,Film/Coating; Porous Network
paper_715|output_715|chem_ni_foam_cmp_500,Ni foam/CMP-500,CoMoO4 (P-doped) + CoP,Film/Coating; Porous Network
paper_715|output_715|chem_ni_foam_p,Ni foam-P,,Porous Network
paper_717|output_717|chem_GDY_RhO_x_GDY,GDY/RhO_x/GDY,GDY/RhO_x/GDY,Particle/Cluster
paper_717|output_717|chem_NiCo2O4,porous NiCo2O4 nanowires,NiCo2O4,1D Wire/Rod/Tube; Porous Network
paper_719|output_719|chem_Ru_C,Ru/C,Ru/C,Particle/Cluster
paper_719|output_719|chem_Ru_C3N4_C,Ru/C3N4/C,Ru/C3N4/C,Amorphous; Crystalline; Faceted Polyhedron; Particle/Cluster
paper_71|output_71|chem_ni_mesh,Ni mesh,Ni,Particle/Cluster; Porous Network
paper_71|output_71|chem_porous_NiW_bimetallic_alloy,porous NiW bimetallic alloy,NiW,Particle/Cluster; Porous Network
paper_71|output_71|chem_porous_ni,monometallic PN,Ni,Particle/Cluster
paper_720|output_720|chem_SP50,EORC-activated stainless steel plate (SP50),Fe/(Ni)OOH,Particle/Cluster
paper_720|output_720|chem_SPN,corroded stainless steel plate (SPN),Fe/(Ni) oxide/hydroxide,Particle/Cluster
paper_720|output_720|chem_SPN50,EORC-activated rusty stainless steel plate (SPN50),Fe/(Ni)OOH,Particle/Cluster
paper_721|output_721|chem_de_alloyed_nanoporous_Cu_Al,de-alloyed nanoporous Cu-Al,,Particle/Cluster; Porous Network
paper_721|output_721|chem_nanoporous_Cu,nanoporous Cu,,Particle/Cluster; Porous Network
paper_723|output_723|chem_nio_ni,NiO/Ni,NiO/Ni,1D Wire/Rod/Tube; Hollow/Core-Shell
paper_723|output_723|chem_ptsa_nio_ni,PtSA-NiO/Ni,PtSA-NiO/Ni,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_724|output_724|chem_Co_foam,Co foam,,2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_724|output_724|chem_Fe_foam,Fe foam,,Porous Network
paper_724|output_724|chem_NiCo_foam,NiCo foam,,Generic Nanostructure; Hollow/Core-Shell; Porous Network
paper_724|output_724|chem_NiFe_foam,NiFe foam,,Porous Network
paper_725|output_725|chem_LDH1_SiCnw,LDH1@SiCnw,,1D Wire/Rod/Tube; Film/Coating
paper_725|output_725|chem_LDH2_SiCnw,LDH2@SiCnw,,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Hollow/Core-Shell
paper_725|output_725|chem_LDH3_SiCnw,LDH3@SiCnw,,1D Wire/Rod/Tube; 2D Sheet
paper_725|output_725|chem_SiCnw,SiCnw,SiC,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_726|output_726|chem_ni2fe1_o,Ni2Fe1-O,Ni₂FeO,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Particle/Cluster; Porous Network
paper_726|output_726|chem_nife_oxyhydroxide,NiFe oxyhydroxide,NiFeOₓHᵧ,Porous Network
paper_726|output_726|chem_nifeox_ni_dendrite,NiFeOOH on dendrite-modified NF,NiFeOOH,Flower/Urchin/Dendrite
paper_727|output_727|chem_bp,BP,P,2D Sheet
paper_727|output_727|chem_bp_cn,BP/CN,BP/g-C3N4,1D Wire/Rod/Tube; 2D Sheet; Particle/Cluster
paper_727|output_727|chem_cn,CN,g-C3N4,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_728|output_728|chem_Co-Ni3N,Co-Ni₃N,Co-Ni₃N,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure
paper_729|output_729|chem_SSF_NiFe_120,SSF@NiFe-120,NiFe(OH)_x,Array/Aligned; Generic Nanostructure
paper_729|output_729|chem_SSF_NiFe_30,SSF@NiFe-30,,Array/Aligned; Generic Nanostructure
paper_729|output_729|chem_SSF_NiFe_360,SSF@NiFe-360,,Array/Aligned; Generic Nanostructure
paper_72|output_72|chem_Ni_Y2O3_1,Ni/Y2O3-1,,Film/Coating
paper_72|output_72|chem_Ni_Y2O3_9_1,Ni/Y2O3 heterostructural electrocatalyst (9:1),Ni/Y2O3,Crystalline; Generic Nanostructure; Particle/Cluster
paper_72|output_72|chem_Ni_pristine,metallic Ni,Ni,Crystalline; Particle/Cluster
paper_731|output_731|chem_NC,NC,NaCoO2,Particle/Cluster; Porous Network
paper_731|output_731|chem_Ru_C,Ru/C,,Particle/Cluster
paper_731|output_731|chem_Ru_NC,Ru/NC,Ru/NaCoO2,2D Sheet; Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network
paper_734|output_734|chem_ru_s_nife_ldh,Ru-S-NiFe LDH,,2D Sheet; Crystalline; Particle/Cluster; Porous Network
paper_735|output_735|chem_Ni10Ru4_TiO2,Ni₁₀Ru₄/TiO₂,Ni₁₀Ru₄/TiO₂,Hollow/Core-Shell; Particle/Cluster
paper_735|output_735|chem_Ni15Ru6_TiO2,Ni₁₅Ru₆/TiO₂,Ni₁₅Ru₆/TiO₂,Hollow/Core-Shell; Particle/Cluster
paper_737|output_737|chem_OA_WO3_200,OA–WO₃-200,OA-WO₃ (after 200 cycles),Faceted Polyhedron
paper_737|output_737|chem_WO3_H2O,WO₃·H₂O,WO₃·H₂O,Faceted Polyhedron
paper_738|output_738|chem_tio2_ak1,AK1,TiO2,Particle/Cluster
paper_738|output_738|chem_tio2_mti5,MTi5,TiO2,Particle/Cluster
paper_738|output_738|chem_tio2_prolabo,Prolabo,TiO2,Particle/Cluster
paper_73|output_73|chem_CoOH2,Co(OH)2,Co(OH)2,Porous Network
paper_73|output_73|chem_Os_CoOH2,Os-Co(OH)2,Os-Co(OH)2,2D Sheet; Porous Network
paper_73|output_73|chem_Os_NF,Os-NF,,Porous Network
paper_740|output_740|chem_RuHex,Ru hexamine,[Ru(NH3)6]3+,Particle/Cluster
paper_741|output_741|chem_BPN,BPN,BP,2D Sheet; Crystalline; Particle/Cluster
paper_741|output_741|chem_Fe_Mg_MOF,Fe-Mg-MOF,,2D Sheet; Crystalline; Particle/Cluster; Porous Network
paper_741|output_741|chem_Fe_Mg_MOF_BPN,Fe-Mg-MOF-BPN,,2D Sheet; Crystalline; Particle/Cluster
paper_742|output_742|chem_sno2,SnO2,SnO2,Particle/Cluster
paper_743|output_743|chem_WS2,WS₂,WS₂,Hollow/Core-Shell
paper_743|output_743|chem_WS2_WO3-x-1,WS₂/WO₃₋ₓ-1,WS₂/WO₃₋ₓ-1,2D Sheet; Generic Nanostructure
paper_743|output_743|chem_WS2_WO3-x-2,WS₂/WO₃₋ₓ-2,WS₂/WO₃₋ₓ-2,2D Sheet; Generic Nanostructure
paper_743|output_743|chem_WS2_WO3-x-3,WS₂/WO₃₋ₓ-3,WS₂/WO₃₋ₓ-3,2D Sheet; Generic Nanostructure
paper_744|output_744|chem_Ru_NiCo2O4_Se_NNS,Ru-NiCo₂O₄-Se NNS,Ru-NiCo₂O₄-Se,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Porous Network
paper_747|output_747|chem_Co2(OH)3Cl,Co₂(OH)₃Cl,Co₂(OH)₃Cl,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Porous Network
paper_747|output_747|chem_Co3O4_NC,Co₃O₄/NC,Co₃O₄/NC,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_747|output_747|chem_CoMOF_NH2,CoMOF-NH₂,CoMOF-NH₂,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_748|output_748|chem_NiFeMo,NiFeMo hybrid film,NiFeMo,Film/Coating
paper_749|output_749|chem_ir_ato_at_40_160,Ir/ATO.AT-40-160,,Particle/Cluster
paper_74|output_74|chem_PtRu_CNT_CeO2x,PtRu/CNT@CeO2-x,,1D Wire/Rod/Tube; Particle/Cluster
paper_74|output_74|chem_PtRu_CNT_SnO2x,PtRu/CNT@SnO2-x,,1D Wire/Rod/Tube; Faceted Polyhedron; Film/Coating; Particle/Cluster
paper_74|output_74|chem_Pt_CNT_CeO2x_K2PtCl4,Pt/CNT@CeO2-x-K2PtCl4,,1D Wire/Rod/Tube; Particle/Cluster
paper_74|output_74|chem_Pt_CNT_CeO2x_PtCl4,Pt/CNT@CeO2-x-PtCl4,,1D Wire/Rod/Tube; Particle/Cluster
paper_74|output_74|chem_Pt_CNT_SnO2x_K2PtCl4,Pt/CNT@SnO2-x-K2PtCl4,,1D Wire/Rod/Tube; Particle/Cluster
paper_74|output_74|chem_Pt_CNT_SnO2x_PtCl4,Pt/CNT@SnO2-x-PtCl4,,1D Wire/Rod/Tube; Film/Coating
paper_750|output_750|chem_ni_underlayer_ni_zn_toplayer_brass_leached,nickel (under layer)/nickel–zinc alloy coated (top layer) brass (leached Zn),,Film/Coating
paper_750|output_750|chem_ni_zn_alloy_coated_brass_leached,nickel–zinc alloy coated brass (leached Zn),,Film/Coating
paper_750|output_750|chem_nickel_coated_brass,nickel coated brass,,Film/Coating
paper_751|output_751|chem_CC1,Ni-Co/Ni-Co coating (CC1),,Film/Coating; Rough/Wrinkled
paper_751|output_751|chem_CN1,Ni-Co/Ni coating (CN1),,Film/Coating; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_751|output_751|chem_NC3,Ni/Ni-Co coating (NC3),,Film/Coating; Rough/Wrinkled
paper_751|output_751|chem_NN3,Ni/Ni coating (NN3),,Film/Coating; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_752|output_752|chem_NiCu_coating,NiCu coating,,Film/Coating
paper_753|output_753|chem_NiCuMo_0.1_LDH_NF,NiCuMo0.1 LDH/NF,NiCuMo_{0.1} LDH,Particle/Cluster; Porous Network
paper_753|output_753|chem_NiCuMo_0.2_LDH_NF,NiCuMo0.2 LDH/NF,NiCuMo_{0.2} LDH,Crystalline; Particle/Cluster; Porous Network
paper_753|output_753|chem_NiCuMo_0.3_LDH_NF,NiCuMo0.3 LDH/NF,NiCuMo_{0.3} LDH,2D Sheet; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_753|output_753|chem_NiCu_LDH_NF,NiCu LDH/NF,NiCu LDH,2D Sheet; Flower/Urchin/Dendrite; Porous Network
paper_754|output_754|chem_Fe_NF,Fe@NF,,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_754|output_754|chem_NiFe_NF,NiFe@NF,Ni/NiO+FeS/NiS on NF,1D Wire/Rod/Tube; Film/Coating; Flower/Urchin/Dendrite; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_754|output_754|chem_Ni_NF,Ni@NF,,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_754|output_754|chem_PtC_NF,Pt/C@NF,,Particle/Cluster; Porous Network
paper_756|output_756|chem_WO3_303K,WO3 thin film deposited at 303 K,WO3,Film/Coating; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_756|output_756|chem_WO3_473K,WO3 thin film deposited at 473 K,WO3,Film/Coating; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_756|output_756|chem_WO3_573K,WO3 thin film deposited at 573 K,WO3,Film/Coating; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_757|output_757|chem_hwon_0.15,HWON-0.15,WO3·0.33H2O (N-modified),Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_758|output_758|chem_Cu_CF,grass-like Cu nanosheet array/CF,Cu,2D Sheet; Array/Aligned; Porous Network
paper_758|output_758|chem_Ni_CF,Ni/CF,Ni,Porous Network
paper_758|output_758|chem_Ni_Cu_CF,grass-like Ni/Cu nanosheet array/CF,Ni/Cu,2D Sheet; Array/Aligned; Porous Network
paper_759|output_759|chem_Co_foam,Co foam,,Porous Network
paper_759|output_759|chem_Fe_foam,Fe foam,,1D Wire/Rod/Tube; Flower/Urchin/Dendrite; Generic Nanostructure; Particle/Cluster; Porous Network
paper_759|output_759|chem_NiCo_foam,NiCo foam,,Particle/Cluster; Porous Network
paper_759|output_759|chem_NiFe_foam,NiFe foam,,Porous Network
paper_75|output_75|chem_NCL,NiCo LDH,,2D Sheet; Flower/Urchin/Dendrite; Hierarchical
paper_75|output_75|chem_NCP,NiCoP,,2D Sheet; Flower/Urchin/Dendrite; Hierarchical
paper_75|output_75|chem_RMNCL,"Ru,Mn-NiCo LDH",,2D Sheet; Flower/Urchin/Dendrite; Hierarchical
paper_75|output_75|chem_RMNCP,"Ru,Mn-NiCoP",,2D Sheet; Flower/Urchin/Dendrite; Hierarchical
paper_75|output_75|chem_RNCL,Ru-NiCo LDH,,2D Sheet; Flower/Urchin/Dendrite; Hierarchical
paper_75|output_75|chem_RNCP,Ru-NiCoP,,2D Sheet; Flower/Urchin/Dendrite; Hierarchical
paper_760|output_760|chem_h_WO3_W_mesh,h-WO3/W mesh,WO3/W,2D Sheet; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_760|output_760|chem_hm_WO3,hm-WO3,WO3,2D Sheet; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_760|output_760|chem_hm_m_WO3_W_mesh,hm-m-WO3/W mesh,WO3/W,2D Sheet; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_760|output_760|chem_m_WO3_W_mesh,m-WO3/W mesh,WO3/W,2D Sheet; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_761|output_761|chem_2CeO2_SrIrO3,2CeO2@SrIrO3,2CeO2@SrIrO3,2D Sheet; Generic Nanostructure; Porous Network
paper_761|output_761|chem_4CeO2_SrIrO3,4CeO2@SrIrO3,4CeO2@SrIrO3,2D Sheet; Amorphous; Crystalline; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_761|output_761|chem_8CeO2_SrIrO3,8CeO2@SrIrO3,8CeO2@SrIrO3,2D Sheet; Generic Nanostructure; Porous Network
paper_761|output_761|chem_SrIrO3,SrIrO3,SrIrO3,2D Sheet; Amorphous; Crystalline; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_762|output_762|chem_MS_SS,MS/SS,NiFeCr sulfides,Porous Network
paper_763|output_763|chem_Ru0.3_NiFe,Ru_{0.3}/NiFe,,2D Sheet
paper_764|output_764|chem_B4.7-Ni4Mo_NF,B_{4.7}-Ni_4Mo / NF,B_{4.7}Ni_4Mo,1D Wire/Rod/Tube; Array/Aligned
paper_765|output_765|chem_Ru_WCx,Ru/WC_x,Ru/WC_x,Crystalline; Generic Nanostructure; Particle/Cluster
paper_765|output_765|chem_WCx,WC_x,WC_x,Particle/Cluster; Rough/Wrinkled
paper_766|output_766|chem_Ni2P-NiSe2_MoOx_NF,Ni₂P-NiSe₂/MoOₓ/NF,Ni₂P-NiSe₂/MoOₓ/NF,1D Wire/Rod/Tube; Porous Network
paper_768|output_768|chem_RuIr,RuIr alloy,Ru_{0.6}Ir_{0.4},Generic Nanostructure; Particle/Cluster
paper_769|output_769|chem_RuSACs-CF,RuSACs-CF,,Generic Nanostructure; Porous Network; Rough/Wrinkled
paper_76|output_76|chem_MoS2,Molybdenum disulfide,MoS2,2D Sheet
paper_76|output_76|chem_Tm_SAs_MoS2,Tm single atoms decorated MoS2,Tm-MoS2,2D Sheet
paper_770|output_770|chem_a_c_FeOOH_IF,a/c-FeOOH/IF,,Porous Network
paper_770|output_770|chem_a_c_FeP_IF,a/c-FeP/IF,FeP,Amorphous; Crystalline; Porous Network
paper_770|output_770|chem_a_c_Ru_FeP_IF,a/c-Ru-FeP/IF,Ru-FeP,1D Wire/Rod/Tube; Amorphous; Crystalline; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_771|output_771|chem_FeNi_OOH_MOF_NF,"(Fe,Ni)OOH-MOF/NF",,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_771|output_771|chem_FeOOH_MOF_NF,FeOOH-MOF/NF,,2D Sheet; Porous Network
paper_771|output_771|chem_NF,bare NF,,Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_773|output_773|chem_Ru_Ni_300,Ru-Ni-300,,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_773|output_773|chem_Ru_Ni_400,Ru-Ni-400,,1D Wire/Rod/Tube; Generic Nanostructure; Porous Network
paper_774|output_774|chem_heo,HEO,(FeCoNiCuMn)₂O₃,Amorphous; Crystalline; Particle/Cluster; Porous Network
paper_774|output_774|chem_mheo,MHEO,(FeCoNiCuMn)₂O₃/Ti₃C₂Tₓ,Amorphous; Crystalline; Particle/Cluster
paper_775|output_775|chem_Fe2O3,Fe₂O₃,Fe₂O₃,Amorphous
paper_776|output_776|chem_CoP_NF,CoP,CoP,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_776|output_776|chem_WO3_CoP_NF,WO₃/CoP,WO3/CoP,Amorphous
paper_777|output_777|chem_ru_v_nio,Ru/V-NiO,,2D Sheet; Crystalline; Porous Network
paper_778|output_778|chem_CeO2,CeO2,CeO2,1D Wire/Rod/Tube; Porous Network
paper_779|output_779|chem_niws,NiS/WS₂/Ni₃S₄,,1D Wire/Rod/Tube; Generic Nanostructure
paper_779|output_779|chem_super_niws_p,Super-NiS/WS₂/Ni₃S₄,NiS/WS₂/Ni₃S₄,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster
paper_77|output_77|chem_CoOH2,Co(OH)2 nanosheets,Co(OH)2,1D Wire/Rod/Tube; 2D Sheet; Amorphous; Generic Nanostructure; Particle/Cluster; Porous Network
paper_77|output_77|chem_CoOH2_NiPx_10,Co(OH)2/NiPx-10,,2D Sheet
paper_77|output_77|chem_CoOH2_NiPx_15,Co(OH)2/NiPx-15,,2D Sheet
paper_77|output_77|chem_CoOH2_NiPx_3,Co(OH)2/NiPx-3,,2D Sheet
paper_77|output_77|chem_CoOH2_NiPx_5,Co(OH)2/NiPx nanosheets,Co(OH)2/NiPx,1D Wire/Rod/Tube; 2D Sheet; Amorphous; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network
paper_77|output_77|chem_NiPx,NiPx nanoparticles,NiPx,1D Wire/Rod/Tube; 2D Sheet; Amorphous; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network
paper_780|output_780|chem_CF,Co foam,Co foam,Porous Network
paper_780|output_780|chem_Co2(OH)3Cl_CF_R,Co₂(OH)₃Cl/CF-R,Co₂(OH)₃Cl/Co foam,Porous Network
paper_780|output_780|chem_MQDs_Co2(OH)3Cl_CF_R,MQDs/Co₂(OH)₃Cl/CF-R,MQDs/β-Co(OH)₂/Co foam,Porous Network
paper_781|output_781|chem_Co_Co2P_NPCNTs,Co/Co2P@NPCNTs,Co/Co2P@NPCNTs,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network
paper_781|output_781|chem_Co_NCNTs,Co@NCNTs,Co@NCNTs,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_782|output_782|chem_Co(OH)2@Ag_NWs,Co(OH)2@Ag NWs,Co(OH)2@Ag,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Film/Coating; Flower/Urchin/Dendrite; Generic Nanostructure; Hollow/Core-Shell
paper_782|output_782|chem_MoO3@Ag_NWs,MoO3@Ag NWs,MoO3@Ag,1D Wire/Rod/Tube; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_782|output_782|chem_MoO3_Co(OH)2@Ag_NWs,MoO3-Co(OH)2@Ag NWs,MoO3-Co(OH)2@Ag,1D Wire/Rod/Tube; Flower/Urchin/Dendrite; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_783|output_783|chem_Pt_NPC,Pt/NPC,Pt/NPC,Particle/Cluster; Porous Network
paper_783|output_783|chem_Pt_SnO2_NPC_200,Pt/SnO2@NPC-200,Pt/SnO2@NPC,Particle/Cluster; Porous Network
paper_783|output_783|chem_Pt_SnO2_NPC_300,Pt/SnO2@NPC-300,Pt/SnO2@NPC,Particle/Cluster; Porous Network
paper_783|output_783|chem_Pt_SnO2_NPC_400,Pt/SnO2@NPC-400,Pt/SnO2@NPC,Particle/Cluster; Porous Network
paper_784|output_784|chem_Ni3S2_NF,Ni₃S₂/NF,Ni₃S₂,1D Wire/Rod/Tube; Amorphous; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_784|output_784|chem_Ni3S2_NiII_TC,Ni₃S₂@Ni(II)-TC,Ni₃S₂@Ni(II)-TC,1D Wire/Rod/Tube; Amorphous; Crystalline; Film/Coating; Generic Nanostructure; Hierarchical; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_785|output_785|chem_Co3O4_Co_h,Co₃O₄/Co-h,Co₃O₄/Co,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_785|output_785|chem_Co3O4_Co_l,Co₃O₄/Co-l,Co₃O₄/Co,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_785|output_785|chem_Co_foam,Co foam,Co,Porous Network
paper_786|output_786|chem_c-IrOx-MoO3_Ti,c-IrOx-MoO3/Ti,IrO_x-MoO_3/Ti,Crystalline; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_786|output_786|chem_c-IrOx_Ti,c-IrOx/Ti,,Amorphous; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_787|output_787|chem_RMNCL,"Ru,Mn-NiCo LDH",,Particle/Cluster
paper_787|output_787|chem_RMNCP,"Ru,Mn-NiCoP",,Particle/Cluster
paper_788|output_788|chem_FeCo2S4_CoFe_MOF_NF,FeCo₂S₄@CoFe-MOF/NF,FeCo₂S₄@CoFe-MOF/NF,1D Wire/Rod/Tube; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_788|output_788|chem_FeCo2S4_NF,FeCo₂S₄/NF,FeCo₂S₄/NF,2D Sheet; Hollow/Core-Shell; Porous Network
paper_788|output_788|chem_FeCo2S4_Ov_CoFe_MOF_NF,FeCo₂S₄@Oᵥ-CoFe-MOF/NF,FeCo₂S₄@Oᵥ-CoFe-MOF/NF,Porous Network
paper_788|output_788|chem_Ov_CoFe_MOF_NF,Oᵥ-CoFe-MOF/NF,Oᵥ-CoFe-MOF/NF,Porous Network
paper_78|output_78|chem_NiFeCeSe_CC,Ce-doped Ni–Fe–Se nanosheets grown on carbon cloth,,2D Sheet; Crystalline; Generic Nanostructure
paper_78|output_78|chem_NiFeSe_CC,Ni–Fe–Se nanosheets grown on carbon cloth,,2D Sheet; Crystalline
paper_791|output_791|chem_AgAu,AgAu,AgAu,Faceted Polyhedron; Flower/Urchin/Dendrite; Particle/Cluster
paper_791|output_791|chem_AgAuPt,AgAuPt,AgAuPt,Faceted Polyhedron; Particle/Cluster
paper_791|output_791|chem_Ag_precursor,Ag precursor,,Faceted Polyhedron; Flower/Urchin/Dendrite; Particle/Cluster
paper_791|output_791|chem_D-CAgAu,D-CAgAu,AgAu,Faceted Polyhedron; Flower/Urchin/Dendrite; Particle/Cluster
paper_791|output_791|chem_D-CAgAuPt,D-CAgAuPt,AgAuPt,Faceted Polyhedron; Flower/Urchin/Dendrite; Generic Nanostructure; Particle/Cluster
paper_791|output_791|chem_L-CAgAu,L-CAgAu,AgAu,Faceted Polyhedron; Flower/Urchin/Dendrite; Particle/Cluster
paper_791|output_791|chem_L-CAgAuPt,L-CAgAuPt,AgAuPt,Faceted Polyhedron; Particle/Cluster
paper_792|output_792|chem_EA_Ni0.82Fe0.18-OH,EA-Ni0.82Fe0.18-OH,Ni_{0.82}Fe_{0.18}(OH)_2,1D Wire/Rod/Tube; 2D Sheet; Porous Network
paper_792|output_792|chem_Ni0.82Fe0.18-OH,Ni0.82Fe0.18-OH,Ni_{0.82}Fe_{0.18}(OH)_2,1D Wire/Rod/Tube; Porous Network
paper_793|output_793|chem_pt_nc,Pt/NC,,2D Sheet; Generic Nanostructure; Particle/Cluster
paper_793|output_793|chem_ptcu_nc,PtCu/NC,,2D Sheet; Particle/Cluster
paper_794|output_794|chem_NiO_NRs_m_Ov,NiO NRs-m-Ov,NiO,1D Wire/Rod/Tube; Array/Aligned; Crystalline; Generic Nanostructure
paper_794|output_794|chem_NiO_NRs_p_Ov,NiO NRs-p-Ov,NiO,1D Wire/Rod/Tube; Array/Aligned; Crystalline; Generic Nanostructure
paper_794|output_794|chem_NiO_NRs_r_Ov,NiO NRs-r-Ov,NiO,1D Wire/Rod/Tube; Array/Aligned; Crystalline; Generic Nanostructure
paper_795|output_795|chem_gradient_LDH,gradient NiFe-LDH,NiFe-LDH,2D Sheet; Porous Network
paper_795|output_795|chem_gradient_free_LDH,gradient-free NiFe-LDH,NiFe-LDH,2D Sheet
paper_798|output_798|chem_NaxWO3_500,Na_xWO_3-500,Na_xWO_3,2D Sheet; Faceted Polyhedron; Flower/Urchin/Dendrite; Particle/Cluster; Porous Network
paper_798|output_798|chem_WO3,WO_3,WO_3,Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_799|output_799|chem_CdS,CdS,CdS,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network
paper_799|output_799|chem_M-MO_CdS,M-MO/CdS,MoO3-x/CdS,1D Wire/Rod/Tube
paper_799|output_799|chem_P-MO_CdS,P-MO/CdS,MoO3-x/CdS,1D Wire/Rod/Tube
paper_799|output_799|chem_R-MO_CdS,R-MO/CdS,MoO3-x/CdS,1D Wire/Rod/Tube
paper_79|output_79|chem_Co_OH_2_NF,cobalt hydroxide nanosheet on nickel foam,Co(OH)2,2D Sheet; Porous Network
paper_79|output_79|chem_CuCo_OH_2_NF,copper cobalt hydroxide nanosheet on nickel foam,CuCo(OH)2,2D Sheet; Porous Network
paper_7|output_7|chem_Fe_foam,iron foam,Fe,Porous Network
paper_7|output_7|chem_NiFe_LDH_IF_Cl,Ni-Fe LDH/IF (Cl-),Ni-Fe LDH/Fe foam,2D Sheet; Porous Network
paper_7|output_7|chem_NiFe_LDH_IF_NO3,Ni-Fe LDH/IF (NO3-),Ni-Fe LDH/Fe foam,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_7|output_7|chem_NiFe_LDH_IF_SO4,Ni-Fe LDH/IF (SO4 2-),Ni-Fe LDH/Fe foam,2D Sheet; Porous Network
paper_801|output_801|chem_CoFe_LDH,CoFe-LDH,[Co²⁺_{1-x}Fe³⁺_x(OH)₂]^{x+}(CO₃²⁻)_{x/2}·mH₂O,2D Sheet; Array/Aligned; Particle/Cluster; Porous Network
paper_802|output_802|chem_Pt_TiO2,Pt/TiO2,,Particle/Cluster
paper_802|output_802|chem_Pt_TiO2_OVs,Pt/TiO2-OVs,Pt/TiO2-OVs,Particle/Cluster
